Ticker,Company,Sector_Id
MMM,3M,S001
AOS,A. O. Smith,S001
ABT,Abbott,S002
ABBV,AbbVie,S002
ACN,Accenture,S003
ATVI,Activision Blizzard,S004
ADM,ADM,S005
ADBE,Adobe Inc.,S003
ADP,ADP,S001
AAP,Advance Auto Parts,S006
AES,AES Corporation,S007
AFL,Aflac,S008
A,Agilent Technologies,S002
APD,Air Products and Chemicals,S009
AKAM,Akamai,S003
ALK,Alaska Air Group,S001
ALB,Albemarle Corporation,S009
ARE,Alexandria Real Estate Equities,S010
ALGN,Align Technology,S002
ALLE,Allegion,S001
LNT,Alliant Energy,S007
ALL,Allstate,S008
GOOGL,Alphabet Inc. (Class A),S004
GOOG,Alphabet Inc. (Class C),S004
MO,Altria,S005
AMZN,Amazon,S006
AMCR,Amcor,S009
AMD,AMD,S003
AEE,Ameren,S007
AAL,American Airlines Group,S001
AEP,American Electric Power,S007
AXP,American Express,S008
AIG,American International Group,S008
AMT,American Tower,S010
AWK,American Water Works,S007
AMP,Ameriprise Financial,S008
ABC,AmerisourceBergen,S002
AME,Ametek,S001
AMGN,Amgen,S002
APH,Amphenol,S003
ADI,Analog Devices,S003
ANSS,Ansys,S003
AON,Aon,S008
APA,APA Corporation,S011
AAPL,Apple Inc.,S003
AMAT,Applied Materials,S003
APTV,Aptiv,S006
ACGL,Arch Capital Group,S008
ANET,Arista Networks,S003
AJG,Arthur J. Gallagher & Co.,S008
AIZ,Assurant,S008
T,AT&T,S004
ATO,Atmos Energy,S007
ADSK,Autodesk,S003
AZO,AutoZone,S006
AVB,AvalonBay Communities,S010
AVY,Avery Dennison,S009
AXON,Axon Enterprise,S001
BKR,Baker Hughes,S011
BALL,Ball Corporation,S009
BAC,Bank of America,S008
BBWI,"Bath & Body Works, Inc.",S006
BAX,Baxter International,S002
BDX,Becton Dickinson,S002
WRB,Berkley,S008
BRK.B,Berkshire Hathaway,S008
BBY,Best Buy,S006
BIO,Bio-Rad,S002
TECH,Bio-Techne,S002
BIIB,Biogen,S002
BLK,BlackRock,S008
BK,BNY Mellon,S008
BA,Boeing,S001
BKNG,Booking Holdings,S006
BWA,BorgWarner,S006
BXP,Boston Properties,S010
BSX,Boston Scientific,S002
BMY,Bristol Myers Squibb,S002
AVGO,Broadcom Inc.,S003
BR,Broadridge Financial Solutions,S001
BRO,Brown & Brown,S008
BF.B,Brown–Forman,S005
BG,Bunge Limited,S005
CHRW,C.H. Robinson,S001
CDNS,Cadence Design Systems,S003
CZR,Caesars Entertainment,S006
CPT,Camden Property Trust,S010
CPB,Campbell Soup Company,S005
