Date,Ticker,Open,Close,Volume,Low,High
2022-07-29,BRK-B,297.42,300.6,6976200,295.43,302.4
2022-07-28,BRK-B,291.18,293.9,3986900,286.77,294.03
2022-07-27,BRK-B,287.67,290.3,3613200,285.7,291.56
2022-07-26,BRK-B,287.79,285.31,2512200,284.65,288.71
2022-07-25,BRK-B,287.21,287.99,3136300,285.15,289.07
2022-07-22,BRK-B,288.1,285.93,2876100,283.62,289.4
2022-07-21,BRK-B,287,286.85,3699000,282.09,287.24
2022-07-20,BRK-B,284.64,286.04,3877200,283.9,286.44
2022-07-19,BRK-B,279,283.55,3590200,278.17,284.08
2022-07-18,BRK-B,281.5,276.26,3273800,275.21,281.5
2022-07-15,BRK-B,277.53,278.48,4547400,276.06,280
2022-07-14,BRK-B,273,274.41,3888500,271.2,275.35
2022-07-13,BRK-B,275.37,277.47,4197400,274.45,280.09
2022-07-12,BRK-B,277.57,277.28,3033000,276.65,282.18
2022-07-11,BRK-B,279.38,278.51,2864400,277.87,281.46
2022-07-08,BRK-B,279.79,280.83,2983400,279.25,282.61
2022-07-07,BRK-B,277.5,279.28,3949700,277.1,279.59
2022-07-06,BRK-B,274.84,275.65,3033900,272.87,277.51
2022-07-05,BRK-B,274.2,275.69,3676900,271.39,275.86
2022-07-01,BRK-B,272.5,277.5,3667300,271.63,278.4
2022-06-30,BRK-B,270.51,273.02,4623500,268.68,274.92
2022-06-29,BRK-B,274.95,273.49,2995900,272.97,275.94
2022-06-28,BRK-B,280.51,273.86,3868000,273.68,282.45
2022-06-27,BRK-B,280.53,278.4,4134800,277.61,282.03
2022-06-24,BRK-B,268.97,278.28,6451900,268.57,279.67
2022-06-23,BRK-B,269.85,267.52,4727400,263.68,270.71
2022-06-22,BRK-B,267.38,269.79,4220700,267.38,273.4
2022-06-21,BRK-B,273.85,271.77,4906700,270.34,273.98
2022-06-17,BRK-B,268.39,268.08,11562000,265.68,270.5
2022-06-16,BRK-B,273.39,268.56,7199200,266.88,273.4
2022-06-15,BRK-B,281.16,278.93,5821200,273.87,282.5
2022-06-14,BRK-B,282.09,277.64,5838100,276.1,283.96
2022-06-13,BRK-B,285.43,281.56,7109100,280.1,287.43
2022-06-10,BRK-B,296.08,291.71,5882600,291.61,298
2022-06-09,BRK-B,308.1,300.8,3217400,300.57,308.38
2022-06-08,BRK-B,312.16,308.74,2877400,307.93,312.8
2022-06-07,BRK-B,310.58,313.65,2550700,309.39,313.79
2022-06-06,BRK-B,313.38,312.15,2980900,311.48,315.78
2022-06-03,BRK-B,312.5,310.94,2587500,310.4,313.8
2022-06-02,BRK-B,312.65,314.95,3119300,308.61,315.09
2022-06-01,BRK-B,316,312.21,3795700,309.61,316.79
2022-05-31,BRK-B,318.98,315.98,5675800,314.8,318.98
2022-05-27,BRK-B,314.73,319.11,4280100,314.15,319.24
2022-05-26,BRK-B,311.27,312.5,4472000,310.98,314.39
2022-05-25,BRK-B,308.59,308.64,3704800,305.92,310.99
2022-05-24,BRK-B,309.39,309.17,3657600,303.75,310.31
2022-05-23,BRK-B,307.38,310.2,4142100,306.62,312.44
2022-05-20,BRK-B,307.05,304.05,5517600,298.11,307.46
2022-05-19,BRK-B,303.93,304.15,4730100,301.21,306.31
2022-05-18,BRK-B,312.94,306.64,4417900,305.57,314.17
2022-07-29,BF-B,73.12,74.22,2599000,72.94,74.53
2022-07-28,BF-B,72.53,73.61,749300,72.14,73.7
2022-07-27,BF-B,72,72.42,837500,70.86,72.54
2022-07-26,BF-B,71.23,71.87,763000,71.13,71.9
2022-07-25,BF-B,71.09,71.3,876500,70.7,71.53
2022-07-22,BF-B,70.95,71.22,1082100,70.61,71.55
2022-07-21,BF-B,70.62,71.19,860400,70.52,71.34
2022-07-20,BF-B,71.32,70.9,1283100,70.57,71.45
2022-07-19,BF-B,70.93,71.4,1102200,70.63,71.64
2022-07-18,BF-B,71.11,70.22,1392100,69.92,71.44
2022-07-15,BF-B,72.02,71.3,951700,71.17,72.02
2022-07-14,BF-B,69.82,71.56,1031200,69.82,71.62
2022-07-13,BF-B,69.59,70.93,1309100,69.59,71.27
2022-07-12,BF-B,70.3,70.07,674900,69.78,70.8
2022-07-11,BF-B,70.11,70.23,1169900,69.77,70.49
2022-07-08,BF-B,70.56,70.16,1070000,69.65,70.92
2022-07-07,BF-B,70.35,70.43,908600,70.17,71.01
2022-07-06,BF-B,71.04,70.4,1519800,70.22,71.54
2022-07-05,BF-B,71.44,70.8,998700,69.79,71.68
2022-07-01,BF-B,70.31,71.57,831200,70,71.68
2022-06-30,BF-B,70.61,70.16,1284200,69.79,70.8
2022-06-29,BF-B,71.23,70.92,1178300,70.7,71.64
2022-06-28,BF-B,72.34,71.16,1290000,71.14,73.04
2022-06-27,BF-B,71.35,72,747300,71.02,72.29
2022-06-24,BF-B,70.38,71.51,1303000,70.16,71.57
2022-06-23,BF-B,69.31,69.5,673000,68.98,69.87
2022-06-22,BF-B,68.45,68.65,852400,68.08,69.2
2022-06-21,BF-B,66.92,68.69,931000,66.78,68.87
2022-06-17,BF-B,66.24,66.57,1529800,66.1,67.13
2022-06-16,BF-B,65.49,66.04,922200,65.29,66.44
2022-06-15,BF-B,66.42,67.09,896100,65.94,67.75
2022-06-14,BF-B,66.23,65.16,1042400,64.43,66.4
2022-06-13,BF-B,67.62,66.11,1538500,65.84,67.82
