Date,Ticker,Open ,Close,Volume,High,Low
12/21/22,ADBE,340.29,341.38,"2,583,000",345.29,336.44
12/20/22,ADBE,327,338.22,"3,873,600",342.5,325.52
12/19/22,ADBE,338,328.76,"4,086,300",340.74,326.3
12/16/22,ADBE,345,338.54,"11,940,700",354.47,337.24
12/15/22,ADBE,332.76,328.71,"5,498,700",334.5,324.59
12/14/22,ADBE,343.89,339.92,"3,236,500",345.95,335
12/13/22,ADBE,353.63,342.46,"3,428,000",355.67,338.79
12/12/22,ADBE,334.76,338.17,"2,914,700",338.27,332.65
12/9/22,ADBE,331.5,330.64,"1,969,200",334.69,328.5
12/8/22,ADBE,325.71,332.58,"2,065,800",336.2,324.35
12/7/22,ADBE,327.53,326.68,"2,055,900",331,325.49
12/6/22,ADBE,334.09,331.15,"2,182,200",334.22,327.4
12/5/22,ADBE,337.8,334.09,"2,542,300",340.51,330.83
12/2/22,ADBE,337.2,341.53,"2,741,800",343.53,334.22
12/1/22,ADBE,348.03,344.11,"3,365,200",350.67,341.5
11/30/22,ADBE,327.12,344.93,"4,979,800",345.03,326.38
11/29/22,ADBE,326.69,326.78,"2,392,600",329.7,323.67
11/28/22,ADBE,335.83,328.97,"2,314,800",338.19,328.07
11/25/22,ADBE,332.89,334.3,"1,197,800",335.51,332.01
11/23/22,ADBE,329.93,335.78,"2,240,800",338.5,327.59
11/22/22,ADBE,322.49,330.88,"2,573,800",331.54,320.2
11/21/22,ADBE,329.53,321.49,"3,219,900",330.25,320.6
11/18/22,ADBE,344.3,330.86,"3,421,700",344.7,329.14
11/17/22,ADBE,331.74,337.83,"2,740,400",339.87,329.35
11/16/22,ADBE,345,338.41,"2,123,200",345.02,336.72
11/15/22,ADBE,348.41,345.96,"2,948,600",350.97,342.56
11/14/22,ADBE,338.07,340.37,"3,464,500",345.11,334.43
11/11/22,ADBE,330.34,341.15,"4,110,100",342.31,329.49
11/10/22,ADBE,318.55,329.95,"5,502,900",330.37,317.87
11/9/22,ADBE,299.65,298.87,"2,778,200",303.29,297.35
11/8/22,ADBE,301.15,302.17,"4,230,600",309.9,297.77
11/7/22,ADBE,288.97,299.54,"3,980,700",300.36,287.57
