Date,ticker,Open ,high,low,close ,volume
7/29/22,ADBE,404.69,411.38,400.89,410.12,"2,669,800"
7/28/22,ADBE,392.76,406.15,390.06,403.5,"2,421,700"
7/27/22,ADBE,385.08,394.91,383.41,392.78,"2,678,000"
7/26/22,ADBE,393.58,393.58,378.16,379.26,"2,368,500"
7/25/22,ADBE,400.11,400.77,388.57,391.96,"2,340,500"
7/22/22,ADBE,410.03,414.62,398.63,401.9,"2,413,200"
7/21/22,ADBE,404.12,409.65,399.24,408.91,"2,009,900"
7/20/22,ADBE,392.19,403.13,390.07,401.49,"2,746,800"
7/19/22,ADBE,382.89,388.32,378,387.83,"1,977,600"
7/18/22,ADBE,383.83,385.57,374.01,375.23,"1,866,400"
7/15/22,ADBE,377.79,384.47,376.86,379.86,"2,488,300"
7/14/22,ADBE,368.83,374.19,361.46,372.96,"2,098,400"
7/13/22,ADBE,368.2,374.41,364.7,371.94,"1,994,000"
7/12/22,ADBE,383.9,391.52,372.91,375.54,"2,639,600"
7/11/22,ADBE,386.57,388.05,380.46,384.16,"1,832,200"
7/8/22,ADBE,384.35,391.86,383.84,389.44,"1,611,200"
7/7/22,ADBE,382.5,392.07,382.38,390.89,"2,368,500"
7/6/22,ADBE,378.54,385.39,374.09,382.83,"2,284,600"
7/5/22,ADBE,363.5,378.52,359.82,376.49,"3,120,500"
7/1/22,ADBE,364.18,369.53,359.07,368.48,"2,471,600"
6/30/22,ADBE,362.9,370.42,357.56,366.06,"2,595,500"
6/29/22,ADBE,367.94,370.37,362.64,368.5,"2,027,900"
6/28/22,ADBE,381,382.98,364.45,365.63,"2,654,500"
6/27/22,ADBE,388.8,389.39,379.38,381.07,"2,244,600"
6/24/22,ADBE,380.64,388.06,378.22,387.72,"3,305,300"
6/23/22,ADBE,371.71,378.18,367.47,376.64,"2,534,300"
6/22/22,ADBE,360.79,372.55,358.22,365.33,"3,168,200"
6/21/22,ADBE,355.02,372.8,353.51,362.99,"5,343,500"
6/17/22,ADBE,349.24,367.32,338,360.79,"9,475,100"
6/16/22,ADBE,369.37,376.12,360.9,365.08,"5,775,300"
6/15/22,ADBE,376.03,382.75,368.5,376.92,"3,664,500"
6/14/22,ADBE,371.44,376.89,367.31,370.82,"3,197,200"
6/13/22,ADBE,377.36,385.65,371.09,371.65,"4,724,800"
6/10/22,ADBE,412.9,413.96,390.19,393.84,"4,406,100"
6/9/22,ADBE,424.17,436.04,423.48,426.42,"2,572,400"
6/8/22,ADBE,430.54,433.75,426.42,428.84,"1,790,100"
6/7/22,ADBE,423.98,435.2,423.12,433.42,"1,611,200"
6/6/22,ADBE,437.59,440,427.04,429.46,"1,563,800"
6/3/22,ADBE,430.71,438.01,427.26,429.76,"2,355,300"
6/2/22,ADBE,418.11,441.9,415.84,441.28,"3,415,700"
6/1/22,ADBE,428,437.55,413.79,418.16,"3,409,900"
5/31/22,ADBE,427.22,427.29,412.79,416.48,"7,944,200"
5/27/22,ADBE,414.8,428.55,414.63,428.22,"3,560,400"
5/26/22,ADBE,405.09,411.55,402.46,408.6,"2,419,500"
5/25/22,ADBE,395.32,406.1,394.71,402.5,"2,726,700"
5/24/22,ADBE,401.61,404.33,391.04,398.41,"2,630,800"
5/23/22,ADBE,404.01,407.88,398.89,406.76,"2,337,500"
5/20/22,ADBE,401.39,406.24,385.62,399.09,"3,432,400"
5/19/22,ADBE,399.01,403.04,391.57,394.38,"2,797,200"
7/29/22,ACN,304.53,307.76,302.92,306.26,"1,868,000"
7/28/22,ACN,296.98,304.5,294.77,303.68,"1,845,400"
7/27/22,ACN,288.84,299.51,287.95,297.53,"1,821,500"
7/26/22,ACN,287.91,288.71,283.66,285.18,"1,710,700"
7/25/22,ACN,288.24,289.56,285.45,289.29,"1,354,700"
7/22/22,ACN,287.5,291.08,285.8,288.01,"1,502,400"
7/21/22,ACN,281.18,288.23,280.76,288.01,"1,546,800"
7/20/22,ACN,280,283.66,279.45,281.66,"2,158,500"
7/19/22,ACN,272.39,280.5,271.74,280.04,"1,942,100"
7/18/22,ACN,273,275.3,267.99,268.65,"2,048,900"
7/15/22,ACN,272.1,272.85,266.86,271.52,"1,741,100"
7/14/22,ACN,268.51,270,261.77,268.67,"1,877,700"
7/13/22,ACN,268.2,275.1,267.33,272.17,"2,185,200"
7/12/22,ACN,274.6,279.29,272.44,273.67,"2,280,400"
7/11/22,ACN,276.77,278.04,273.32,274.87,"1,850,000"
7/8/22,ACN,277.65,279.81,275.18,279.07,"1,987,600"
7/7/22,ACN,277.26,279.76,274.41,279.4,"2,169,100"
7/6/22,ACN,277.96,279.21,274.96,275.94,"2,260,300"
7/5/22,ACN,276.28,276.41,269.68,275.17,"3,181,300"
7/1/22,ACN,277.58,282.37,276.28,280.65,"2,400,200"
6/30/22,ACN,277.33,280.66,275.32,277.65,"2,562,200"
6/29/22,ACN,278.42,281.15,275.25,279.81,"2,405,800"
6/28/22,ACN,293.09,296.53,283.49,283.8,"2,167,500"
6/27/22,ACN,298.94,301,291.64,292.62,"2,107,500"
6/24/22,ACN,285.41,299.61,284.97,299.37,"4,647,900"
6/23/22,ACN,276,286.28,275,285.83,"3,482,100"
6/22/22,ACN,279.09,290.36,279.09,286.4,"2,939,000"
6/21/22,ACN,278.15,284.31,277.67,282.73,"2,550,200"
6/17/22,ACN,272.61,278.59,270.93,275.38,"4,446,100"
6/16/22,ACN,275.35,275.4,269.09,270.9,"2,741,800"
6/15/22,ACN,276.98,285.85,276.1,281.19,"2,536,000"
6/14/22,ACN,274.65,277.25,272.61,275.12,"2,052,600"
6/13/22,ACN,276.66,281.31,274.86,276.5,"2,414,200"
6/10/22,ACN,290.89,291.22,285.98,286.01,"2,169,900"
6/9/22,ACN,300.65,302.62,294.75,295.43,"2,497,900"
6/8/22,ACN,305,307.41,301.73,302.64,"1,428,600"
6/7/22,ACN,300.43,306.89,300.41,306.53,"2,311,100"
6/6/22,ACN,310,312.32,303.77,304.73,"1,401,000"
6/3/22,ACN,302.3,306.82,301.92,304.95,"1,714,500"
6/2/22,ACN,299.96,306.76,297.88,306.62,"1,318,500"
6/1/22,ACN,304.13,306.71,297.38,298.65,"1,784,600"
5/31/22,ACN,302.4,303.32,296.7,298.46,"4,143,700"
5/27/22,ACN,293.44,304.17,293.44,304.15,"2,759,000"
5/26/22,ACN,282.44,292.88,281.11,291.55,"2,742,800"
5/25/22,ACN,278.33,281.34,275.24,279.64,"1,812,600"
5/24/22,ACN,279.82,281.03,273.05,279.31,"2,088,700"
5/23/22,ACN,281.28,283.93,276.16,283.39,"2,128,900"
5/20/22,ACN,275.58,278.4,268.17,276.65,"3,007,800"
5/19/22,ACN,270.15,278,269.7,273.61,"2,679,500"
