Date,Ticker,Open,Close,Volume,Low,High
5/19/2022,PANW,142.48,145.46,12119700,140.52,148.14
5/20/2022,PANW,162.68,159.56,17700000,153.48,164.32
5/23/2022,PANW,161.23,166.76,8871600,160.72,168.32
5/24/2022,PANW,163.93,159.05,6701400,156.7,165.21
5/25/2022,PANW,158.13,168.5,6508800,158.13,171.54
5/26/2022,PANW,168.02,167.36,5333100,165.55,169.55
5/27/2022,PANW,170.56,168.93,3672900,167.67,172.33
5/31/2022,PANW,168.17,167.59,6981300,165.11,169.06
6/1/2022,PANW,169.07,167.24,4161600,166.52,174.25
6/2/2022,PANW,166.27,172.45,3789900,166.13,173.87
6/3/2022,PANW,170.03,170.86,2843700,167.42,172.86
6/6/2022,PANW,172.12,171.34,1772400,168.65,173.16
6/7/2022,PANW,169.38,175.67,2904000,169,176.3
6/8/2022,PANW,175.17,174.96,2425800,173.96,178.27
6/9/2022,PANW,173.58,172.05,2946600,171.35,176.16
6/10/2022,PANW,168.94,165.07,4560300,163.43,169.41
6/13/2022,PANW,158.15,159.24,4800300,155.07,161.92
6/14/2022,PANW,160.59,160.54,3194100,158.67,163.1
6/15/2022,PANW,162.3,162.34,3116100,159.56,165.29
6/16/2022,PANW,157.82,155.44,4101300,153.25,159.95
6/17/2022,PANW,156.09,158.45,4337700,155.9,160.88
6/21/2022,PANW,160.87,166.45,5929200,160.69,167.12
6/22/2022,PANW,164.49,164.77,3734400,164.16,169.87
6/23/2022,PANW,166.03,167.69,3253200,164.73,168.69
6/24/2022,PANW,169.83,170.24,10815300,167.2,171.53
6/27/2022,PANW,171.41,167.29,4452900,166.19,171.53
6/28/2022,PANW,168.44,163.97,3207000,161.55,169.83
6/29/2022,PANW,164,163.93,2147400,160.84,165
6/30/2022,PANW,162.74,164.65,4342200,160.69,166.52
7/1/2022,PANW,165,169.42,3525000,164.15,170.14
7/5/2022,PANW,168,173.71,4081200,166.83,174.14
7/6/2022,PANW,175.18,171.65,4251300,170.57,175.22
7/7/2022,PANW,171.65,172.42,3884100,170.52,174.51
7/8/2022,PANW,170.65,174.74,2396100,168.73,175.16
7/11/2022,PANW,172.91,171.97,1937100,170.33,173.66
7/12/2022,PANW,173.49,164.19,4115400,162.99,175.57
7/13/2022,PANW,161.31,164.47,3232500,159.93,166.56
7/14/2022,PANW,163.21,163.33,4755300,159.33,163.93
7/15/2022,PANW,163.53,169.65,3278400,163.53,170.59
7/18/2022,PANW,171.92,168.61,2388600,168.3,173.06
7/19/2022,PANW,169.56,171.2,2008500,168.09,171.87
7/20/2022,PANW,170.36,168.07,4604400,165.68,170.9
7/21/2022,PANW,167.37,171.45,5136000,166.43,171.64
7/22/2022,PANW,173.03,170.39,2438700,169.12,174.67
7/25/2022,PANW,170.65,168.42,2137500,166.6,171.33
7/26/2022,PANW,167.21,155.07,7198200,154.4,167.53
7/27/2022,PANW,158.51,159.36,3714600,155.68,161.14
7/28/2022,PANW,159.37,164.07,3707400,157.1,164.79
7/29/2022,PANW,164.07,166.37,3547200,162.51,166.44
8/1/2022,PANW,166.59,169.22,3739200,165.08,170.59
8/2/2022,PANW,167.43,170.23,2980500,167.34,172.82
