Date,Ticker,Open,Close,Volume,Low,High
6/30/2023,^GSPE,619.71,623.56,143783200,619.61,626.96
6/27/2023,^SP500-60,230.59,232.07,70330500,229.2,232.61
6/26/2023,^SP500-60,224.4,229.78,64558300,224.4,229.97
6/23/2023,^SP500-60,226.54,224.6,112147600,224.57,228.17
6/22/2023,^SP500-60,230.9,227.23,61450700,225.76,230.9
6/21/2023,^SP500-60,230.5,230.61,63095300,228.96,231.47
6/20/2023,^SP500-60,233.81,231.95,66792800,230.55,233.84
6/16/2023,^SP500-60,235.12,234.78,128985300,234.46,236.96
6/15/2023,^SP500-60,233.09,234.98,63906700,231.57,235.44
6/14/2023,^SP500-60,233.97,234.19,62697400,232.24,235.64
6/13/2023,^SP500-60,231.35,233.34,67861000,230.97,233.6
6/12/2023,^SP500-60,231.73,231.95,62023400,229.84,231.97
6/9/2023,^SP500-60,233.47,231.83,56527500,230.68,233.69
6/8/2023,^SP500-60,233.18,233.23,56583100,230.6,233.6
6/7/2023,^SP500-60,231.47,234.62,62064700,230.14,235.21
6/6/2023,^SP500-60,230.39,230.67,52055100,228.54,231.07
6/5/2023,^SP500-60,230.33,229.24,46711700,228.86,231.63
6/2/2023,^SP500-60,228.26,230.37,68130600,227.21,231.19
6/1/2023,^SP500-60,225.59,225.72,62512100,223.5,226.87
5/31/2023,^SP500-60,224.55,225.65,167816600,222.94,226
5/30/2023,^SP500-60,225.06,224.13,61390500,223.74,227.1
5/26/2023,^SP500-60,221.43,223.45,53547200,220.49,223.9
5/25/2023,^SP500-60,221.39,220.85,68331200,219.31,222.48
5/24/2023,^SP500-60,224.57,220.26,56904800,219.98,224.61
5/23/2023,^SP500-60,227.5,225.25,55528700,225.06,229.36
5/22/2023,^SP500-60,226.95,228.08,52370300,225.71,229.54
5/19/2023,^SP500-60,227.79,226.59,57413700,225.7,229.27
5/18/2023,^SP500-60,227.55,226.99,59144100,225.29,228.28
5/17/2023,^SP500-60,226.85,228.71,54652900,225.3,229.07
5/16/2023,^SP500-60,231.78,225.86,67783500,225.84,231.78
5/15/2023,^SP500-60,233.04,232.04,50324500,231.33,233.48
5/12/2023,^SP500-60,232.76,232.7,50363500,230.84,233.05
5/11/2023,^SP500-60,233.3,232.29,55824400,230.83,233.31
