date,ticker,Open,Close,volume,Low,High
2022-08-02,A,132.41,131.28,1398600,131.09,134.68
2022-08-02,AAP,195.73,195.02,466200,193.56,196.25
2022-08-02,AAPL,160.10,160.01,59907000,159.63,162.41
2022-08-02,ABBV,141.18,140.39,5197100,140.10,142.84
2022-08-02,ABC,146.31,142.81,1387200,142.48,146.71
2022-08-02,ABT,109.62,108.64,3093800,108.54,110.90
2022-08-02,ACN,302.38,302.48,1772100,299.41,306.58
2022-08-02,ADI,170.28,170.77,2179600,169.61,172.53
2022-08-02,ADM,84.07,82.79,3187700,82.65,84.43
2022-08-02,ADP,241.76,240.62,1127300,238.70,242.59
2022-08-02,AEE,93.55,92.53,1352300,92.46,93.93
2022-08-02,AEP,99.10,98.46,2139300,98.36,99.75
2022-08-02,AES,22.33,22.23,4830600,22.22,22.66
2022-08-02,AFL,58.41,58.74,5509500,57.54,59.97
2022-08-02,AIG,50.96,50.71,4977000,50.64,51.67
2022-08-02,AIZ,175.03,171.57,483700,170.94,175.50
2022-08-02,AJG,172.07,172.34,835700,171.75,174.86
2022-08-02,ALB,239.00,243.89,1025400,238.64,246.62
2022-08-02,ALL,116.55,115.70,1501600,115.63,117.25
2022-08-02,ALLE,104.91,102.74,529900,102.73,105.42
2022-08-02,AMAT,104.71,104.99,4137900,103.66,106.54
2022-08-02,AMCR,12.99,12.75,7324000,12.70,13.10
2022-08-02,AME,131.93,124.81,1957100,124.36,131.93
2022-08-02,AMGN,246.69,243.91,2295100,243.78,247.85
2022-08-02,AMP,264.12,264.11,747800,263.89,269.79
2022-08-02,AMT,269.10,266.63,1681000,266.03,271.18
2022-08-02,AON,279.03,280.26,1086700,278.28,285.21
2022-08-02,AOS,61.66,60.47,992500,60.27,62.05
2022-08-02,APA,35.95,35.93,5119800,35.17,36.44
2022-08-02,APD,245.74,244.12,1026900,240.42,246.92
2022-08-02,APH,76.00,76.44,2243400,75.95,77.31
2022-08-02,ARE,164.00,159.67,1561500,159.51,164.01
2022-08-02,ATO,121.13,120.10,920400,119.98,121.78
2022-08-02,AVB,207.64,204.58,910900,203.71,209.78
2022-08-02,AVGO,533.22,531.21,1307200,527.23,539.20
2022-08-02,AVY,189.42,190.47,710800,188.23,192.87
2022-08-02,AWK,157.92,155.48,670200,155.38,158.41
2022-08-02,AXP,152.02,151.60,2562900,150.84,153.30
2022-08-02,BAC,33.60,33.04,37884100,33.00,33.72
2022-08-02,BALL,72.93,71.79,2361400,71.67,73.17
2022-08-02,BAX,58.77,58.88,3866800,58.33,59.50
2022-08-02,BBWI,37.07,37.02,3579000,36.15,37.33
2022-08-02,BBY,76.31,74.61,2367100,74.57,76.45
2022-08-02,BDX,245.19,243.02,953500,242.64,246.75
2022-08-02,BEN,27.65,27.38,3279800,27.18,27.77
2022-08-02,BF-B,74.70,74.36,942900,73.83,74.70
2022-08-02,BG,93.54,92.94,1529500,92.51,94.30
2022-08-02,BK,42.85,42.95,2453400,42.58,43.42
2022-08-02,BKR,24.71,25.42,6529400,24.70,25.64
2022-08-02,BLK,663.78,666.16,711600,662.99,677.89
2022-08-02,BMY,74.18,73.28,7039700,73.24,74.73
2022-08-02,BR,160.63,163.28,518200,159.75,163.47
2022-08-02,BRO,62.99,62.88,915000,62.69,63.60
2022-08-02,BWA,38.54,38.56,1818100,38.16,39.08
2022-08-02,BXP,89.25,88.05,1098800,87.93,89.73
2022-08-02,C,51.76,50.75,17378500,50.73,52.10
2022-08-02,CAG,34.64,34.12,2828400,34.07,34.65
2022-08-02,CAH,60.51,59.76,3591600,59.05,60.54
2022-08-02,CARR,40.41,40.41,6508800,40.21,41.14
2022-08-02,CAT,188.00,183.51,8193100,183.16,189.47
2022-08-02,CB,185.40,184.34,2267500,184.02,188.09
2022-08-02,CCI,179.67,177.85,1581000,177.58,181.65
2022-08-02,CDW,181.19,180.33,939600,179.43,182.39
2022-08-02,CE,112.85,111.45,1100800,111.00,114.49
2022-08-02,CEG,65.30,65.84,1722900,64.99,66.79
2022-08-02,CF,93.95,98.17,3898700,93.95,101.28
2022-08-02,CFG,37.43,36.73,2789000,36.69,37.44
2022-08-02,CHD,88.99,87.06,1240800,86.86,89.04
2022-08-02,CHRW,109.87,109.03,1657300,107.20,110.08
2022-08-02,CI,274.95,271.44,1415400,270.77,275.03
2022-08-02,CINF,95.37,94.61,1307000,93.41,95.74
2022-08-02,CL,81.52,80.26,20428800,80.11,81.56
2022-08-02,CLX,145.76,143.79,941200,143.35,145.76
2022-08-02,CMA,77.43,76.64,787000,76.41,77.79
2022-08-02,CMCSA,37.59,37.68,25562500,37.44,38.07
2022-08-02,CME,195.91,197.52,1062200,194.94,198.88
2022-08-02,CMI,218.99,218.61,1385200,215.70,223.94
2022-08-02,CMS,69.53,68.90,2290800,68.84,70.02
2022-08-02,CNP,32.00,31.70,4497700,31.64,32.25
2022-08-02,COF,108.84,106.94,2209400,106.85,109.06
2022-08-02,COP,95.10,94.71,4653000,93.93,95.85
2022-08-02,COST,544.03,543.46,1984200,540.77,551.04
2022-08-02,CPB,49.85,49.20,1698200,49.09,49.95
2022-08-02,CPRT,64.14,64.04,1777800,63.85,64.86
2022-08-02,CPT,139.08,137.07,1063500,136.92,139.78
2022-08-02,CSCO,45.52,44.92,15005400,44.90,45.70
2022-08-02,CSX,32.65,32.15,12985800,32.14,32.65
2022-08-02,CTAS,423.64,422.76,346500,418.14,425.83
2022-08-02,CTRA,29.42,29.38,6760300,28.89,29.77
2022-08-02,CTSH,67.62,67.57,3480700,66.36,68.11
2022-08-02,CTVA,56.84,55.74,3025200,55.69,56.94
2022-08-02,CVS,96.21,95.37,4110500,95.10,96.52
2022-08-02,CVX,160.89,159.14,5928300,158.30,161.47
2022-08-02,D,82.79,82.16,2651700,82.11,83.41
2022-08-02,DD,59.46,58.57,3575700,58.46,60.08
2022-08-02,DE,335.00,333.21,1271500,330.84,339.07
2022-08-02,DFS,101.54,100.16,862200,99.70,101.58
2022-08-02,DG,253.12,250.62,1225500,249.55,253.88
2022-08-02,DHI,76.97,74.16,3769900,74.04,77.87
2022-08-02,DHR,285.57,285.53,1907000,284.93,291.49
2022-08-02,DLR,130.36,129.27,2302500,129.16,132.94
2022-08-02,DOV,131.78,131.13,618000,131.01,133.42
