Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High
5/19/2023,ABBV,143.86,145.11,5609776,143.8,145.8
5/19/2023,ADM,73.19,73.23,2731726,72.54,73.5
5/19/2023,MMM,100.25,99.03,2695961,98.67,100.46
5/19/2023,ATVI,78.25,78.59,6294980,78.11,78.77
5/19/2023,AAP,120.61,117.41,945548,117.09,121.23
5/19/2023,AES,21.03,20.81,5729553,20.77,21.14
5/19/2023,ADP,216.64,216.18,1448940,215.26,217.54
5/19/2023,ACN,288.6,289.91,1562532,287.35,291.35
5/19/2023,AOS,69.62,68.42,537917,68,69.74
5/19/2023,ADBE,363,371.25,3855319,361.36,372.04
5/19/2023,ABT,108.98,108.93,3890245,108.4,109.98
5/19/2023,AFL,67.45,66.88,1867673,66.61,67.58
5/19/2023,A,129.59,128.87,1351374,128.62,130.47
5/19/2023,APD,276.74,278.91,774040,276.18,280.38
5/19/2023,LNT,52.92,52.61,1711019,52.51,53.39
5/19/2023,ALLE,111.71,109.3,528343,109.06,111.71
5/19/2023,ALL,119.83,117.78,1932468,117.75,119.99
5/19/2023,ALK,45.25,44.52,899916,44.14,45.3
5/19/2023,AKAM,87.81,87.27,1436652,87.25,88.33
5/19/2023,GOOGL,123.55,122.76,39193451,122.15,125.97
5/19/2023,GOOG,124.2,123.25,29341368,122.72,126.48
5/19/2023,AMCR,10.29,10.23,4237699,10.2,10.32
5/19/2023,MO,45.27,45.3,6199728,45.01,45.48
5/19/2023,AMZN,118.16,116.25,51923090,115.7,118.31
5/19/2023,AMD,106.36,105.82,66697826,104.62,107.29
5/19/2023,ALGN,293.39,290.99,486152,287.73,293.94
5/19/2023,ARE,117.83,115.8,854105,115.75,119.47
5/19/2023,AEE,83.84,84.12,1854558,83.52,85.06
5/19/2023,AAL,15.07,14.82,17867725,14.62,15.09
5/19/2023,AEP,86.74,86.56,2030356,86.44,87.46
5/19/2023,AIG,54.74,53.85,2732291,53.57,54.85
5/19/2023,AMP,305.53,303.87,427429,300.93,306.91
5/19/2023,ABC,175.13,173.39,1512590,173.1,176.62
5/19/2023,ALB,208.5,204.15,1570721,203.45,209.43
5/19/2023,AMT,191.42,190.73,1242699,189.58,192.88
5/19/2023,AME,149.11,147.57,823387,146.98,149.47
5/19/2023,AXP,154.57,152.95,2257755,152.14,154.91
5/19/2023,AMGN,224.44,223.42,1956400,222.77,225.88
5/19/2023,AON,325.51,327.12,1180519,324.45,328.71
5/19/2023,AWK,142.53,141.45,702652,141.39,143.09
5/19/2023,AMAT,128.3,126.95,10254874,125.25,128.3
5/19/2023,APH,76.03,75.8,2384880,75.68,76.39
5/19/2023,ADI,192.26,190.53,3598275,189.76,192.65
5/19/2023,APA,33.32,33.41,6771797,33.02,33.94
5/19/2023,APTV,95.5,94.37,1654321,94.36,95.88
5/19/2023,AAPL,176.39,175.16,50895166,174.95,176.29
5/19/2023,ACGL,75.77,76.02,2059938,75.59,76.69
5/19/2023,T,16.59,16.31,42587662,16.29,16.65
5/19/2023,ADSK,204,200.89,1522158,199.27,204.25
5/19/2023,ANSS,307.75,305.56,323793,305.39,308.64
5/19/2023,ANET,142.81,143.91,3285027,142.02,145.77
5/19/2023,AJG,215.54,216.07,817174,214.31,216.43
5/19/2023,ATO,116.06,116.56,859981,115.76,117.27
