Date,Ticker,Open,Close,Volume,Previous Close,Intraday Low,Intraday High,Bid,Ask
2023-05-19,ABBV,143.86,145.11,5609776,143.44,143.80,145.80,145.15,145.05
2023-05-19,ADM,73.19,73.23,2731726,72.79,72.54,73.50,73.24,73.64
2023-05-19,MMM,100.25,99.03,2695961,99.64,98.67,100.46,98.95,99.03
2023-05-19,ATVI,78.25,78.59,6294980,78.19,78.11,78.77,78.64,78.80
2023-05-19,AAP,120.61,117.41,945548,121.48,117.09,121.23,117.32,119.00
2023-05-19,AES,21.03,20.81,5729553,20.86,20.77,21.14,20.50,20.83
2023-05-19,ADP,216.64,216.18,1448940,215.43,215.26,217.54,215.21,216.54
2023-05-19,ACN,288.60,289.91,1562532,287.48,287.35,291.35,289.02,289.91
2023-05-19,AOS,69.62,68.42,537917,69.14,68.00,69.74,68.00,68.48
2023-05-19,ADBE,363.00,371.25,3855319,360.43,361.36,372.04,370.70,371.01
2023-05-19,ABT,108.98,108.93,3890245,108.47,108.40,109.98,108.81,108.98
2023-05-19,AFL,67.45,66.88,1867673,66.91,66.61,67.58,66.94,67.13
2023-05-19,A,129.59,128.87,1351374,129.14,128.62,130.47,126.40,131.20
2023-05-19,APD,276.74,278.91,774040,275.45,276.18,280.38,272.39,285.27
2023-05-19,LNT,52.92,52.61,1711019,52.64,52.51,53.39,52.66,53.79
2023-05-19,ALLE,111.71,109.30,528343,110.49,109.06,111.71,108.66,109.59
2023-05-19,ALL,119.83,117.78,1932468,118.89,117.75,119.99,115.81,119.60
2023-05-19,ALK,45.25,44.52,899916,45.12,44.14,45.30,44.10,44.75
2023-05-19,AKAM,87.81,87.27,1436652,87.77,87.25,88.33,86.04,88.43
2023-05-19,GOOGL,123.55,122.76,39193451,122.83,122.15,125.97,122.78,122.49
2023-05-19,GOOG,124.20,123.25,29341368,123.52,122.72,126.48,123.07,123.05
2023-05-19,AMCR,10.29,10.23,4237699,10.22,10.20,10.32,10.10,10.24
2023-05-19,MO,45.27,45.30,6199728,45.07,45.01,45.48,45.30,45.30
2023-05-19,AMZN,118.16,116.25,51923090,118.15,115.70,118.31,116.31,116.32
2023-05-19,AMD,106.36,105.82,66697826,107.93,104.62,107.29,105.89,105.84
2023-05-19,ALGN,293.39,290.99,486152,293.42,287.73,293.94,289.39,298.98
2023-05-19,ARE,117.83,115.80,854105,116.91,115.75,119.47,115.53,119.50
2023-05-19,AEE,83.84,84.12,1854558,83.36,83.52,85.06,82.90,84.32
2023-05-19,AAL,15.07,14.82,17867725,15.05,14.62,15.09,14.80,14.81
2023-05-19,AEP,86.74,86.56,2030356,86.64,86.44,87.46,86.17,86.78
2023-05-19,AIG,54.74,53.85,2732291,54.31,53.57,54.85,53.73,53.78
2023-05-19,AMP,305.53,303.87,427429,303.70,300.93,306.91,296.74,303.88
2023-05-19,ABC,175.13,173.39,1512590,174.82,173.10,176.62,170.39,174.60
2023-05-19,ALB,208.50,204.15,1570721,210.14,203.45,209.43,203.75,205.00
2023-05-19,AMT,191.42,190.73,1242699,191.03,189.58,192.88,189.36,191.25
2023-05-19,AME,149.11,147.57,823387,147.79,146.98,149.47,146.69,148.11
2023-05-19,AXP,154.57,152.95,2257755,153.48,152.14,154.91,152.51,152.80
2023-05-19,AMGN,224.44,223.42,1956400,224.23,222.77,225.88,223.39,223.95
2023-05-19,AON,325.51,327.12,1180519,324.23,324.45,328.71,312.11,329.57
