Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High,Bid,Ask
2023-06-20,^GSPC,4396.11,4388.71,2431767000,4367.19,4400.15,,
2023-06-20,MMM,102.78,102.30,2742702,101.07,102.93,102.34,102.36
2023-06-20,AOS,70.42,70.09,639180,69.81,70.63,69.85,70.53
2023-06-20,ABT,105.20,106.70,6447903,104.90,107.67,106.22,107.98
2023-06-20,ABBV,137.10,137.82,4427988,136.66,138.95,137.53,139.50
2023-06-20,ACN,317.26,317.40,3310937,315.01,320.64,317.42,319.42
2023-06-20,ATVI,81.69,81.89,4382635,81.55,81.99,81.88,81.92
2023-06-20,ADM,75.00,74.08,3349649,73.46,75.17,73.88,74.40
2023-06-20,ADBE,485.63,485.86,5195166,480.00,492.69,485.15,485.48
2023-06-20,ADP,221.47,220.28,1587972,219.90,222.03,219.55,221.19
2023-06-20,AAP,69.22,67.98,3708354,67.37,69.59,68.02,68.50
2023-06-20,AES,21.25,21.01,3080424,20.89,21.25,20.88,21.20
2023-06-20,AFL,68.92,67.80,2727636,67.72,69.00,67.70,69.30
2023-06-20,A,118.64,118.16,2023911,116.88,118.79,117.64,120.99
2023-06-20,APD,289.95,289.30,670054,287.30,290.42,287.55,289.52
2023-06-20,AKAM,91.20,90.68,1731853,90.25,91.91,88.76,92.25
2023-06-20,ALK,49.96,49.51,1323045,49.33,50.15,49.11,49.80
2023-06-20,ALB,228.57,232.22,2285436,225.09,233.60,232.01,233.47
2023-06-20,ARE,115.17,114.04,1436164,113.02,115.28,113.56,115.30
2023-06-20,ALGN,327.02,331.43,529950,320.53,333.05,331.35,331.52
2023-06-20,ALLE,117.25,118.22,781114,117.20,119.01,117.72,118.85
2023-06-20,LNT,53.70,52.96,1115312,52.89,53.81,52.01,53.81
2023-06-20,ALL,109.86,108.61,3283744,108.07,110.22,107.80,112.89
2023-06-20,GOOGL,122.93,123.10,23580392,122.14,124.57,123.19,123.48
2023-06-20,GOOG,123.54,123.85,21383407,122.83,125.18,124.01,123.70
2023-06-20,MO,44.03,43.47,8020586,43.47,44.08,43.49,43.55
2023-06-20,AMZN,124.97,125.78,56800937,124.50,127.25,125.78,125.84
2023-06-20,AMCR,10.26,10.19,7089182,10.18,10.32,10.00,10.35
2023-06-20,AMD,119.08,118.93,58734809,117.71,121.75,118.94,118.98
2023-06-20,AEE,83.78,82.88,1068559,82.72,83.89,81.05,84.05
2023-06-20,AAL,16.38,16.32,17071423,16.16,16.42,16.31,16.34
2023-06-20,AEP,84.92,84.54,2596449,83.95,85.51,84.55,85.50
2023-06-20,AXP,171.00,169.41,2829897,168.33,171.22,169.26,169.78
2023-06-20,AIG,56.70,56.08,3969305,55.94,57.16,54.92,56.80
2023-06-20,AMT,191.59,190.05,2122514,189.95,193.21,189.88,190.73
2023-06-20,AWK,148.31,148.11,927610,146.14,148.88,146.08,149.97
2023-06-20,AMP,322.01,322.13,465287,316.93,323.27,316.68,327.63
2023-06-20,ABC,183.18,184.49,1293678,183.01,185.04,183.69,184.42
2023-06-20,AME,154.78,155.34,634208,154.40,155.85,153.19,157.40
2023-06-20,AMGN,229.03,228.59,2337894,227.19,230.84,227.00,231.30
2023-06-20,APH,81.32,81.05,2527743,80.62,81.37,79.64,82.37
2023-06-20,ADI,187.00,187.98,2630757,185.40,188.97,184.54,188.83
2023-06-20,ANSS,329.86,331.31,357271,328.62,336.04,325.00,333.00
2023-06-20,AON,327.45,328.95,836375,326.16,331.79,132.07,334.26
2023-06-20,APA,34.10,33.50,5059944,32.84,34.20,33.30,33.43
2023-06-20,AAPL,184.41,185.01,45338517,184.45,186.10,184.73,184.92
2023-06-20,AMAT,139.11,138.52,3703503,137.27,140.32,138.11,139.17
2023-06-20,APTV,101.00,100.16,1989243,98.73,101.00,97.70,100.93
2023-06-20,ACGL,71.19,70.79,1708074,70.19,71.74,70.73,72.23
2023-06-20,ANET,157.30,154.50,4365813,153.72,159.42,154.00,154.51
2023-06-20,AJG,213.15,211.64,1224153,211.39,215.53,206.00,212.85
2023-06-20,AIZ,131.29,129.41,358702,129.28,131.58,126.96,130.32
2023-06-20,T,16.02,15.78,34245304,15.77,16.08,15.79,15.77
2023-06-20,ATO,116.56,115.91,643255,115.86,117.25,113.36,118.29
2023-06-20,ADSK,211.63,211.99,1730775,209.27,214.00,207.04,216.96
2023-06-20,AZO,2493.83,2453.07,214340,2446.95,2493.83,2409.45,2496.82
2023-06-20,AVB,191.87,190.20,716439,189.27,192.08,189.27,193.25
2023-06-20,AVY,169.60,168.04,359304,167.25,170.93,168.37,170.49
2023-06-20,AXON,201.50,204.77,897733,199.30,205.39,202.01,205.50
2023-06-20,BKR,30.32,29.80,5628462,29.29,30.39,29.50,29.87
2023-06-20,BALL,56.53,56.00,3384306,55.41,57.54,55.50,57.10
2023-06-20,BAC,29.01,28.87,37118069,28.58,29.04,28.83,28.87
2023-06-20,BBWI,38.92,38.80,3226253,38.73,39.36,38.70,39.80
2023-06-20,BAX,44.72,44.94,5496968,44.45,45.60,44.60,45.04
2023-06-20,BDX,257.06,256.47,933831,255.08,259.51,251.72,260.00
2023-06-20,WRB,58.97,58.45,1148022,58.22,58.99,58.19,58.80
2023-06-20,BRK-B,338.15,338.67,3655073,336.62,339.28,337.08,338.60
2023-06-20,BBY,79.29,78.82,2094358,78.40,79.55,78.32,78.95
2023-06-20,BIO,362.50,370.75,315501,356.51,372.40,357.58,384.03
2023-06-20,TECH,76.91,77.43,1296018,75.50,78.27,75.55,77.73
2023-06-20,BIIB,296.00,293.79,926971,293.65,298.73,293.00,295.20
2023-06-20,BLK,695.69,690.95,698062,687.50,696.46,688.00,690.35
2023-06-20,BK,44.46,44.36,3925142,43.99,44.51,43.77,45.16
2023-06-20,BA,218.89,212.37,8109203,211.88,219.29,212.42,212.44
2023-06-20,BKNG,2620.00,2636.65,285472,2613.97,2669.97,2634.01,2660.00
2023-06-20,BWA,48.04,46.39,3161323,46.04,48.19,45.60,47.43
