date,ticker,open_price,close_price,volume,intraday_low,intraday_high
6/27/2023,BWA,45.46,46.35,1929615,45.12,46.37
6/27/2023,BXP,56.3,57.75,2848785,55.42,58.13
6/27/2023,BSX,53.5,53.49,6062483,53.03,53.69
6/27/2023,BMY,64.75,64.75,6464142,64.22,65.04
6/27/2023,AVGO,828.68,848.4,2288744,821.02,849.69
6/27/2023,^GSPC,4337.36,4378.41,2286873000,4335,4384.42
6/27/2023,MMM,99.92,98.26,5416420,98.07,100.22
6/27/2023,AOS,71.21,72.27,937647,71.22,72.68
6/27/2023,ABT,108.89,107.79,4700188,106.77,108.94
6/27/2023,ABBV,134.88,132.6,7762803,132.52,134.88
6/27/2023,ACN,297.12,300.81,2045659,296.11,301.03
6/27/2023,ATVI,83.25,84.13,6792458,83.23,84.61
6/27/2023,ADM,73.29,73.89,2100446,72.7,74.04
6/27/2023,ADBE,480,489.27,2683036,479.95,490.8
6/27/2023,ADP,215.71,215.61,1313237,214.05,216.36
6/27/2023,AAP,67.62,68.32,1640988,66.5,68.75
6/27/2023,AES,20.89,20.91,5925113,20.39,21.01
6/27/2023,AFL,67.78,68.5,1420721,67.12,68.71
6/27/2023,A,118.47,117.04,2325467,116.73,118.96
6/27/2023,APD,286.58,291.41,544943,286.58,291.56
6/27/2023,AKAM,88.67,89.35,1158900,88.55,89.88
6/27/2023,ALK,50.35,51.93,1472701,50.14,52.28
6/27/2023,ALB,224.8,227.07,1168245,221.4,227.99
6/27/2023,ARE,114.33,115.88,1450817,113.33,116.38
6/27/2023,ALGN,333.29,340.69,422949,328.99,341.92
6/27/2023,ALLE,117.61,118.99,466076,117.26,119.32
6/27/2023,LNT,52.92,52.82,1094309,52.78,53.19
6/27/2023,ALL,109.1,108.64,956222,108.34,109.67
6/27/2023,GOOGL,117.08,118.33,36231424,116.1,119.08
6/27/2023,GOOG,117.84,119.01,24654137,116.91,119.89
6/27/2023,MO,44.16,44.34,6308954,43.98,44.38
6/27/2023,AMZN,128.63,129.18,44528339,127.55,130.09
6/27/2023,AMCR,9.97,10.07,4949522,9.9,10.11
6/27/2023,AMD,108.57,110.39,58523680,107.08,110.97
6/27/2023,AEE,81.99,82.59,968200,81.8,82.81
6/27/2023,AAL,16.53,17.35,41965282,16.52,17.48
6/27/2023,AEP,83.77,83.44,3447034,83.39,84
6/27/2023,AXP,166.35,168.19,2430181,166.18,168.38
6/27/2023,AIG,55.54,56.45,3286124,55.4,56.78
6/27/2023,AMT,188.97,187.72,1758518,187.18,189.42
6/27/2023,AWK,140.21,142.88,2290260,139.32,143.15
6/27/2023,AMP,320.12,326.11,385852,320.12,327.12
6/27/2023,ABC,185.04,188.78,1235857,183.67,189.1
6/27/2023,AME,157.67,159.58,664431,157.22,159.86
6/27/2023,AMGN,224.16,222.61,2552370,221.13,224.62
6/27/2023,APH,80.82,82.24,1867749,80.59,82.44
6/27/2023,ADI,186.8,192.38,3630362,185.01,192.6
6/27/2023,ANSS,317.14,323.32,357087,317.14,324.91
6/27/2023,AON,331.24,333.64,567368,331.04,334.58
6/27/2023,APA,32.76,32.76,4088910,32.53,33.23
6/27/2023,AAPL,185.89,188.06,46982317,185.67,188.39
6/27/2023,AMAT,140.15,146.55,7331930,139.97,146.69
6/27/2023,APTV,98.93,100.54,1610103,98.37,100.79
6/27/2023,ACGL,71.69,71.14,1517906,71.09,72.26
6/27/2023,ANET,152.3,156.13,3127432,152.2,157.29
6/27/2023,AJG,211.02,212.15,681378,210.86,213.91
6/27/2023,AIZ,126.8,124.98,366468,124.89,127.17
6/27/2023,T,15.55,15.84,30417887,15.53,15.89
6/27/2023,ATO,116.43,117.19,493558,116.16,117.35
6/27/2023,ADSK,201.76,206.85,1496939,201.05,207.25
6/27/2023,AZO,2473.9,2439.88,218389,2439.88,2497.36
6/27/2023,AVB,186.67,187.91,420065,185.35,188.42
6/27/2023,AVY,169.74,170.4,307319,167.7,171.19
6/27/2023,AXON,191.13,195.38,434264,191.13,195.73
6/27/2023,BKR,30.37,30.97,5670652,30.28,31.14
6/27/2023,BALL,56.31,57.51,1324015,56.04,57.61
6/27/2023,BAC,28.1,28.24,37768444,27.95,28.4
6/27/2023,BBWI,36.49,37.88,4045266,36.31,37.98
6/27/2023,BAX,44.69,45.4,4352230,44.23,45.58
6/27/2023,BDX,256.48,258.25,886190,254.01,258.73
6/27/2023,WRB,58.66,58.73,755110,58.6,59.22
6/27/2023,BRK-B,334.39,335.34,2476851,334.37,336.73
6/27/2023,BBY,81.38,82.91,2489667,81.37,83.15
6/27/2023,BIO,365.93,365.75,149371,360.89,367.34
6/27/2023,TECH,76.91,75.59,748663,75.29,77.04
6/27/2023,BIIB,281.91,282.95,850922,277.88,283.49
6/27/2023,BLK,683.43,684.64,528562,677.76,688.34
6/27/2023,BK,43.07,43.84,5965983,42.79,43.84
6/27/2023,BA,206.15,209.43,4330541,206.08,209.66
6/27/2023,BKNG,2647.54,2700.36,388145,2647.54,2722
6/27/2023,BR,160.26,161.51,285950,159.51,161.79
6/27/2023,BRO,66.41,66.82,1227217,66.31,67.31
6/27/2023,BF-B,65.51,66.12,835782,65.34,66.18
6/27/2023,BG,93.06,92.41,1154745,91.36,93.32
6/27/2023,CHRW,92.93,94.44,694124,92.69,95.04
6/27/2023,CDNS,223.51,228.8,1469791,223.51,229.7
6/27/2023,CZR,46.79,48.27,2209269,46.26,48.47
6/27/2023,CPT,108.99,109.74,755076,108.05,109.77
