Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High
2023-06-28,MMM,98.26,98.57,3790130,97.77,99.27
2023-06-28,AOS,72.13,72.13,646993,71.74,72.57
2023-06-28,ABT,107.96,107.61,3640684,107.36,108.15
2023-06-28,ABBV,132.60,132.51,6900231,130.96,133.17
2023-06-28,ACN,300.48,301.72,1940539,297.78,302.15
2023-06-28,ATVI,84.50,83.60,6743649,83.49,84.63
2023-06-28,ADM,73.76,73.94,2349264,73.21,74.21
2023-06-28,ADBE,482.00,482.43,3057078,480.39,489.75
2023-06-28,ADP,215.15,215.61,1567067,213.73,216.48
2023-06-28,AAP,67.68,68.08,1863283,66.76,68.35
2023-06-28,AES,20.79,20.20,5671108,20.12,20.81
2023-06-28,AFL,68.16,68.38,1863709,67.67,68.53
2023-06-28,A,116.70,116.37,2196762,115.71,117.11
2023-06-28,APD,290.37,291.32,606358,288.39,291.85
2023-06-28,AKAM,89.22,89.05,1099175,88.56,89.35
2023-06-28,ALK,52.13,52.44,1201813,51.83,52.51
2023-06-28,ALB,225.48,217.00,1897025,216.70,225.65
2023-06-28,ARE,115.78,112.53,1212429,111.90,115.78
2023-06-28,ALGN,341.30,345.07,490474,340.19,348.86
2023-06-28,ALLE,118.61,118.16,497462,117.08,119.07
2023-06-28,LNT,52.67,51.80,1490274,51.58,52.67
2023-06-28,ALL,108.39,108.86,2104028,107.40,108.91
2023-06-28,GOOGL,117.09,120.18,27043793,116.85,120.39
2023-06-28,GOOG,117.96,121.08,18843584,117.60,121.26
2023-06-28,MO,44.16,44.50,7257207,43.82,44.51
2023-06-28,AMZN,128.94,129.04,49328259,128.44,131.48
2023-06-28,AMCR,10.03,9.81,6086693,9.76,10.04
2023-06-28,AMD,108.21,110.17,66658863,107.63,111.78
2023-06-28,AEE,82.57,80.85,824606,80.64,82.57
2023-06-28,AAL,17.35,17.55,26338461,17.28,17.58
2023-06-28,AEP,83.36,81.62,4585492,81.34,83.44
2023-06-28,AXP,167.26,169.78,2264372,167.20,169.87
2023-06-28,AIG,56.24,56.46,3710494,55.68,56.52
2023-06-28,AMT,187.74,191.61,2573732,185.93,191.75
2023-06-28,AWK,142.77,140.98,1300219,140.00,142.77
2023-06-28,AMP,325.43,325.39,410220,322.32,326.53
2023-06-28,ABC,188.77,189.72,1006000,188.69,190.26
2023-06-28,AME,159.41,158.78,620846,158.33,159.59
2023-06-28,AMGN,222.24,221.31,2251654,218.66,222.35
2023-06-28,APH,82.15,82.52,1862372,81.83,82.68
2023-06-28,ADI,190.02,189.90,3820935,188.58,191.14
2023-06-28,ANSS,324.05,324.31,389595,321.08,326.46
2023-06-28,AON,333.00,333.59,641550,330.63,333.92
2023-06-28,APA,32.74,33.20,4517679,32.12,33.30
2023-06-28,AAPL,187.93,189.25,48829939,187.60,189.90
2023-06-28,AMAT,142.80,144.03,6615876,142.05,145.92
2023-06-28,APTV,100.48,101.17,1322585,99.91,101.78
2023-06-28,ACGL,71.38,71.68,1639664,70.54,71.79
2023-06-28,ANET,154.92,155.86,2271789,153.99,158.05
2023-06-28,AJG,211.79,210.89,780362,209.39,211.79
2023-06-28,AIZ,124.49,124.15,482550,121.51,124.49
2023-06-28,T,15.81,15.78,23872605,15.61,15.84
2023-06-28,ATO,117.24,115.26,668803,115.15,117.24
2023-06-28,ADSK,206.15,206.30,1151109,203.91,208.36
2023-06-28,AZO,2420.00,2437.63,167851,2420.00,2469.77
2023-06-28,AVB,187.22,186.76,510276,185.85,188.65
2023-06-28,AVY,170.01,165.47,580178,164.81,170.01
2023-06-28,AXON,195.76,194.59,465526,193.69,196.40
2023-06-28,BKR,31.00,31.13,5793668,30.62,31.47
2023-06-28,BALL,57.35,56.65,1240784,56.06,57.35
2023-06-28,BAC,28.25,28.07,36319663,27.90,28.27
2023-06-28,BBWI,37.72,36.78,4051786,36.58,37.93
2023-06-28,BAX,45.38,45.08,3042895,44.83,45.38
2023-06-28,BDX,258.00,259.02,1115980,257.31,259.37
2023-06-28,WRB,58.47,58.12,1298921,57.42,58.69
2023-06-28,BRK-B,336.05,334.15,3166027,332.61,336.40
2023-06-28,BBY,82.39,82.28,1897966,81.78,82.55
2023-06-28,BIO,366.93,364.38,254154,360.75,368.36
2023-06-28,TECH,75.59,76.09,577154,74.73,76.42
2023-06-28,BIIB,282.95,284.02,611720,281.48,285.68
2023-06-28,BLK,684.64,685.22,367814,680.12,685.77
2023-06-28,BK,43.78,43.56,2576298,43.24,43.80
2023-06-28,BA,211.21,210.72,4250982,209.45,212.19
2023-06-28,BKNG,2697.99,2666.47,240859,2663.05,2722.68
2023-06-28,BWA,46.39,47.71,2913245,46.17,47.76
2023-06-28,BXP,57.74,56.81,2586729,56.35,57.85
2023-06-28,BSX,53.58,53.45,5222259,53.34,53.92
2023-06-28,BMY,64.70,64.09,9414272,62.88,64.70
2023-06-28,AVGO,838.73,847.94,1875768,837.06,858.53
2023-06-28,BR,161.98,161.73,357966,160.55,161.98
2023-06-28,BRO,66.76,66.80,948924,66.23,67.04
2023-06-28,BF-B,65.99,65.62,1150385,65.41,66.35
2023-06-28,BG,91.61,91.81,1400695,89.68,91.82
2023-06-28,CHRW,94.56,93.88,619453,92.90,94.56
2023-06-28,CDNS,227.69,229.36,1462856,226.60,230.18
2023-06-28,CZR,47.96,48.07,1875274,47.75,48.63
2023-06-28,CPT,109.82,108.02,1265138,107.30,109.82
2023-06-28,CPB,45.43,45.32,3075779,44.76,45.49
2023-06-28,COF,108.47,109.26,2530552,106.88,109.29
2023-06-28,CAH,93.18,93.81,2262107,92.93,94.31
2023-06-28,KMX,82.42,84.37,2487280,82.11,85.09
2023-06-28,CCL,15.94,17.29,94681788,15.88,17.49
2023-06-28,CARR,49.25,49.32,3325602,49.11,49.63
2023-06-28,CTLT,41.59,40.33,7671349,38.78,42.11
2023-06-28,CAT,239.29,241.87,2139688,237.86,242.05
2023-06-28,CBOE,133.15,134.52,394272,133.14,135.20
2023-06-28,CBRE,77.91,78.47,1457409,77.16,78.54
2023-06-28,CDW,177.40,177.48,698763,176.05,177.93
2023-06-28,CE,112.68,113.98,908186,111.38,114.11
2023-06-28,CNP,29.18,28.73,2825929,28.68,29.18
2023-06-28,CNC,66.41,66.10,1977737,65.71,66.58
2023-06-28,CDAY,65.89,64.73,1354790,64.09,66.69
2023-06-28,CF,70.14,68.25,1703794,68.03,70.24
2023-06-28,CRL,203.71,205.74,434022,202.50,207.29
2023-06-28,SCHW,55.46,55.78,9314781,55.04,55.81
2023-06-28,CHTR,354.00,359.39,1411495,352.61,360.93
2023-06-28,CVX,153.44,154.92,5763737,152.19,155.02
2023-06-28,CMG,2071.93,2101.49,246064,2069.90,2116.34
2023-06-28,CB,189.25,184.92,2521616,184.51,189.25
2023-06-28,CHD,98.26,98.47,2114017,97.61,98.89
2023-06-28,CI,275.68,274.74,736164,273.09,276.06
2023-06-28,CINF,97.10,95.55,532641,95.04,97.35
2023-06-28,CTAS,490.90,489.34,273059,487.36,490.93
2023-06-28,CSCO,50.78,50.87,10551071,50.45,51.01
2023-06-28,C,46.37,46.23,13012289,45.81,46.39
2023-06-28,CFG,25.81,25.66,5659433,25.20,25.83
2023-06-28,CLX,158.44,156.94,935156,156.51,158.51
2023-06-28,CME,180.55,183.14,1822981,179.50,183.22
2023-06-28,CMS,59.64,58.46,1203935,58.32,59.69
2023-06-28,KO,60.88,60.52,11144868,60.40,61.04
2023-06-28,CTSH,63.09,63.37,4045944,63.12,63.99
2023-06-28,CL,75.33,75.91,4880210,74.65,75.94
2023-06-28,CMCSA,41.96,41.67,15540790,41.31,42.03
2023-06-28,CMA,41.67,42.11,1465880,40.99,42.18
2023-06-28,CAG,33.50,33.05,5229152,32.89,33.50
2023-06-28,COP,100.82,102.51,4911019,99.96,102.72
2023-06-28,ED,91.98,90.11,1487538,89.87,91.98
2023-06-28,STZ,246.14,246.78,899738,244.23,247.53
2023-06-28,CEG,90.90,90.55,1510717,89.73,90.90
2023-06-28,COO,378.67,380.50,203933,377.14,381.45
2023-06-28,CPRT,89.04,89.71,2307549,89.01,90.20
2023-06-28,GLW,34.60,34.78,3992104,34.39,34.90
2023-06-28,CTVA,57.63,56.94,2944966,56.33,57.64
2023-06-28,CSGP,89.80,89.33,3956414,89.03,91.31
