Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High
2023-06-29,MMM,98.10,99.24,3489707,97.92,99.46
2023-06-29,AOS,71.91,72.38,628113,71.91,72.84
2023-06-29,ABT,107.03,107.66,3254077,106.97,107.86
2023-06-29,ABBV,132.37,133.23,4892178,132.13,133.91
2023-06-29,ACN,301.40,308.33,2419062,300.10,310.57
2023-06-29,ATVI,83.09,83.08,8283539,82.39,85.00
2023-06-29,ADM,73.96,74.62,2084166,73.96,75.73
2023-06-29,ADBE,484.47,483.77,1904302,479.60,485.83
2023-06-29,ADP,216.10,216.46,1448549,214.29,219.48
2023-06-29,AAP,68.42,68.23,1394193,67.88,69.08
2023-06-29,AES,20.06,20.43,3101596,20.00,20.50
2023-06-29,AFL,68.45,69.12,1412529,68.34,69.22
2023-06-29,A,116.16,118.05,1885350,116.07,118.25
2023-06-29,APD,289.94,294.75,567003,288.60,295.29
2023-06-29,AKAM,88.66,89.19,997033,88.41,89.26
2023-06-29,ALK,52.57,52.27,1276746,52.13,53.09
2023-06-29,ALB,217.13,218.98,1583651,215.62,219.62
2023-06-29,ARE,110.50,113.37,950868,110.26,113.38
2023-06-29,ALGN,345.00,341.79,552834,337.76,349.67
2023-06-29,ALLE,118.00,119.58,535529,118.00,119.63
2023-06-29,LNT,51.29,51.79,1082158,51.07,52.07
2023-06-29,ALL,109.07,109.09,1364960,108.62,109.43
2023-06-29,GOOGL,119.24,119.10,22275596,118.29,120.06
2023-06-29,GOOG,120.09,120.01,17512278,119.21,120.91
2023-06-29,MO,44.42,44.97,6374712,44.32,44.98
2023-06-29,AMZN,128.77,127.90,40449552,127.25,129.26
2023-06-29,AMCR,9.75,9.90,5053806,9.67,9.91
2023-06-29,AMD,112.07,111.24,58197202,109.84,112.76
2023-06-29,AEE,80.21,80.99,781069,79.94,81.48
2023-06-29,AAL,17.64,17.60,20269753,17.53,17.98
2023-06-29,AEP,81.17,83.26,4874934,80.79,83.67
2023-06-29,AXP,170.58,172.08,2895333,170.32,172.31
