Ticker,Company,Sector_Id,Industry_Id
MMM,3M,S001,I001
AOS,A. O. Smith,S001,I002
ABT,Abbott,S002,I003
ABBV,AbbVie,S002,I004
ACN,Accenture,S003,I005
ATVI,Activision Blizzard,S004,I006
ADM,ADM,S005,I007
ADBE,Adobe Inc.,S003,I008
ADP,ADP,S001,I009
AAP,Advance Auto Parts,S006,I010
AES,AES Corporation,S007,I011
AFL,Aflac,S008,I012
A,Agilent Technologies,S002,I003
APD,Air Products and Chemicals,S009,I014
AKAM,Akamai,S003,I015
ALK,Alaska Air Group,S001,I016
ALB,Albemarle Corporation,S009,I017
ARE,Alexandria Real Estate Equities,S010,I018
ALGN,Align Technology,S002,I019
ALLE,Allegion,S001,I002
LNT,Alliant Energy,S007,I021
ALL,Allstate,S008,I022
GOOGL,Alphabet Inc. (Class A),S004,I023
GOOG,Alphabet Inc. (Class C),S004,I023
MO,Altria,S005,I025
AMZN,Amazon,S006,I026
AMCR,Amcor,S009,I027
AMD,AMD,S003,I028
AEE,Ameren,S007,I029
AAL,American Airlines Group,S001,I016
AEP,American Electric Power,S007,I021
AXP,American Express,S008,I032
AIG,American International Group,S008,I022
AMT,American Tower,S010,I034
AWK,American Water Works,S007,I035
AMP,Ameriprise Financial,S008,I036
ABC,AmerisourceBergen,S002,I037
AME,Ametek,S001,I038
AMGN,Amgen,S002,I039
APH,Amphenol,S003,I040
ADI,Analog Devices,S003,I028
ANSS,Ansys,S003,I008
AON,Aon,S008,I043
APA,APA Corporation,S011,I044
AAPL,Apple Inc.,S003,I045
AMAT,Applied Materials,S003,I046
APTV,Aptiv,S006,I047
ACGL,Arch Capital Group,S008,I048
ANET,Arista Networks,S003,I049
AJG,Arthur J. Gallagher & Co.,S008,I043
AIZ,Assurant,S008,I051
T,AT&T,S004,I052
ATO,Atmos Energy,S007,I053
ADSK,Autodesk,S003,I008
AZO,AutoZone,S006,I055
AVB,AvalonBay Communities,S010,I056
AVY,Avery Dennison,S009,I027
AXON,Axon Enterprise,S001,I058
BKR,Baker Hughes,S011,I059
BALL,Ball Corporation,S009,I060
BAC,Bank of America,S008,I061
BBWI,"Bath & Body Works, Inc.",S006,I055
BAX,Baxter International,S002,I003
BDX,Becton Dickinson,S002,I003
WRB,Berkley,S008,I022
BRK-B,Berkshire Hathaway,S008,I066
BBY,Best Buy,S006,I067
BIO,Bio-Rad,S002,I068
TECH,Bio-Techne,S002,I068
BIIB,Biogen,S002,I039
BLK,BlackRock,S008,I036
BK,BNY Mellon,S008,I036
BA,Boeing,S001,I058
BKNG,Booking Holdings,S006,I026
BWA,BorgWarner,S006,I047
BXP,Boston Properties,S010,I018
BSX,Boston Scientific,S002,I003
BMY,Bristol Myers Squibb,S002,I004
AVGO,Broadcom Inc.,S003,I028
BR,Broadridge Financial Solutions,S001,I080
BRO,Brown & Brown,S008,I043
BF-B,Brown-Forman,S005,I082
BG,Bunge Limited,S005,I007
CHRW,C.H. Robinson,S001,I084
CDNS,Cadence Design Systems,S003,I008
CZR,Caesars Entertainment,S006,I086
CPT,Camden Property Trust,S010,I056
CPB,Campbell Soup Company,S005,I088
COF,Capital One,S008,I032
CAH,Cardinal Health,S002,I037
KMX,CarMax,S006,I010
CCL,Carnival,S006,I092
CARR,Carrier Global,S001,I002
CTLT,Catalent,S002,I004
CAT,Caterpillar Inc.,S001,I095
CBOE,Cboe Global Markets,S008,I096
CBRE,CBRE Group,S010,I097
CDW,CDW,S003,I098
CE,Celanese,S009,I017
CNC,Centene Corporation,S002,I100
CNP,CenterPoint Energy,S007,I029
CDAY,Ceridian,S003,I008
CF,CF Industries,S009,I103
CRL,Charles River Laboratories,S002,I068
SCHW,Charles Schwab Corporation,S008,I105
CHTR,Charter Communications,S004,I106
CVX,Chevron Corporation,S011,I107
CMG,Chipotle Mexican Grill,S006,I108
CB,Chubb Limited,S008,I022
CHD,Church & Dwight,S005,I110
CI,Cigna,S002,I100
CINF,Cincinnati Financial,S008,I022
CTAS,Cintas,S001,I113
CSCO,Cisco,S003,I049
C,Citigroup,S008,I061
CFG,Citizens Financial Group,S008,I116
CLX,Clorox,S005,I110
CME,CME Group,S008,I096
CMS,CMS Energy,S007,I029
KO,Coca-Cola Company (The),S005,I120
CTSH,Cognizant,S003,I005
CL,Colgate-Palmolive,S005,I110
CMCSA,Comcast,S004,I106
CMA,Comerica,S008,I061
CAG,Conagra Brands,S005,I088
COP,ConocoPhillips,S011,I044
ED,Consolidated Edison,S007,I021
STZ,Constellation Brands,S005,I082
CEG,Constellation Energy,S007,I029
COO,CooperCompanies,S002,I019
CPRT,Copart,S001,I113
GLW,Corning Inc.,S003,I040
CTVA,Corteva,S009,I103
CSGP,CoStar Group,S001,I134
COST,Costco,S005,I135
CTRA,Coterra,S011,I044
CCI,Crown Castle,S010,I034
CSX,CSX,S001,I138
CMI,Cummins,S001,I139
CVS,CVS Health,S002,I140
DHI,D.R. Horton,S006,I141
DHR,Danaher Corporation,S002,I003
DRI,Darden Restaurants,S006,I108
DVA,DaVita Inc.,S002,I144
DE,John Deere,S001,I145
DAL,Delta Air Lines,S001,I016
XRAY,Dentsply Sirona,S002,I019
DVN,Devon Energy,S011,I044
DXCM,Dexcom,S002,I003
FANG,Diamondback Energy,S011,I044
DLR,Digital Realty,S010,I151
DFS,Discover Financial,S008,I032
DISH,Dish Network,S004,I106
DIS,Disney,S004,I154
DG,Dollar General,S005,I135
DLTR,Dollar Tree,S005,I135
D,Dominion Energy,S007,I021
DPZ,Domino's,S006,I108
